config_hash,graph_hash,damage_seed,seed,graph_family,graph_split,damage_family,damage_split,policy_anchor,allocation_buffer,allocation_recovery,allocation_reconfiguration,allocation_split,total_energy_E,initial_max_flow,post_policy_max_flow,required_flow_Q,horizon_T,damage_intensity,max_flow_series,q_series,margin_series,collapse_time,maintained_step_ratio,maintained_flow_ratio,minimum_margin,buffer_energy_spent,recovery_energy_spent,reconfiguration_energy_spent,active_bypass_edges,degeneracy_flags,final_graph_hash
7385aa5a390f884d,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,9,0.28,"[8,7,5,4,2,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[4,3,1,0,-2,-3,-4,-4,-4]",4,0.4444444444444444,0.5277777777777778,-4,10,0,0,0,,3c45eb9b4e938a26
9a91650c35b5c7ad,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,9,0.28,"[9,8,6,4,2,2,0,0,0]","[4,4,4,4,4,4,4,4,4]","[5,4,2,0,-2,-2,-4,-4,-4]",4,0.4444444444444444,0.5555555555555556,-4,8,2,0,0,,f3c18f0cc7714d86
63dbfee2e9b44adf,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,9,0.28,"[9,7,4,4,3,1,1,0,0]","[4,4,4,4,4,4,4,4,4]","[5,3,0,0,-1,-3,-3,-4,-4]",4,0.4444444444444444,0.5833333333333334,-4,8,0,2,2,,6222cd04152959c5
d30df0cee510e719,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,9,0.28,"[9,8,6,5,4,2,1,0,0]","[4,4,4,4,4,4,4,4,4]","[5,4,2,1,0,-2,-3,-4,-4]",5,0.5555555555555556,0.6388888888888888,-4,6,4,0,0,,40a1d7bd5f9dd071
9c5789eae6579abd,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,9,0.28,"[10,8,5,5,3,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[6,4,1,1,-1,-3,-4,-4,-4]",4,0.4444444444444444,0.5555555555555556,-4,6,2,2,2,,d445d2995fb9a2e9
b4a2cd8e248f8267,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,balanced,4,3,3,calibration,10,8,10,4,9,0.28,"[10,8,5,3,1,1,1,1,0]","[4,4,4,4,4,4,4,4,4]","[6,4,1,-1,-3,-3,-3,-3,-4]",3,0.3333333333333333,0.5277777777777778,-4,4,3,3,3,,8bf11cf310d56188
44ddb4eb442ff9f9,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,9,0.28,"[8,8,7,6,2,1,1,1,1]","[4,4,4,4,4,4,4,4,4]","[4,4,3,2,-2,-3,-3,-3,-3]",4,0.4444444444444444,0.6111111111111112,-3,0,8,2,2,,7dd69e54ab097664
d6ac7a5ef61a4e0d,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,9,0.28,"[10,9,8,6,3,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[6,5,4,2,-1,-3,-4,-4,-4]",4,0.4444444444444444,0.5555555555555556,-4,0,2,8,8,,8ff246bf69493412
ff994f2f1074cab9,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,9,0.28,"[8,8,5,4,2,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[4,4,1,0,-2,-3,-4,-4,-4]",4,0.4444444444444444,0.5277777777777778,-4,0,10,0,0,,8e5f0d014e492041
779de560c3ce0680,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,9,0.28,"[9,8,6,3,1,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[5,4,2,-1,-3,-3,-4,-4,-4]",3,0.3333333333333333,0.4722222222222222,-4,0,0,10,10,,2a5fd3ee3ac56d71
ef7e137fb828bb4a,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,9,0.28,"[10,8,5,3,2,1,1,1,0]","[4,4,4,4,4,4,4,4,4]","[6,4,1,-1,-2,-3,-3,-3,-4]",3,0.3333333333333333,0.5555555555555556,-4,3,4,3,3,,70866543507a614f
27ea6fbfbf44ec77,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,9,0.28,"[9,8,7,6,5,4,3,2,1]","[4,4,4,4,4,4,4,4,4]","[5,4,3,2,1,0,-1,-2,-3]",6,0.6666666666666666,0.8333333333333334,-3,10,0,0,0,,426b223f1f8c2700
cad334b62890b7a9,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,9,0.28,"[10,10,9,8,7,6,5,4,3]","[4,4,4,4,4,4,4,4,4]","[6,6,5,4,3,2,1,0,-1]",8,0.8888888888888888,0.9722222222222222,-1,8,2,0,0,,f2eb5645050e3e8e
ef2e5d110b779202,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,9,0.28,"[11,9,8,7,6,5,4,3,2]","[4,4,4,4,4,4,4,4,4]","[7,5,4,3,2,1,0,-1,-2]",7,0.7777777777777778,0.9166666666666666,-2,8,0,2,2,,23084c541b6a387b
fe75e272ff7a3b9d,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,9,0.28,"[10,10,10,10,9,8,7,6,5]","[4,4,4,4,4,4,4,4,4]","[6,6,6,6,5,4,3,2,1]",,1.0,1.0,1,6,4,0,0,no_collapse,d86dcd9e1d42d661
ed54b3671107c223,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,9,0.28,"[11,11,10,9,8,7,6,5,4]","[4,4,4,4,4,4,4,4,4]","[7,7,6,5,4,3,2,1,0]",,1.0,1.0,0,6,2,2,2,no_collapse,a4edf6121d586f12
f45222a8abc67828,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,balanced,4,3,3,calibration,10,8,10,4,9,0.28,"[11,11,11,10,9,8,7,6,5]","[4,4,4,4,4,4,4,4,4]","[7,7,7,6,5,4,3,2,1]",,1.0,1.0,1,4,3,3,3,no_collapse,c13c506fcc58a5de
4925cb3930f71842,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,9,0.28,"[8,8,8,8,8,8,8,8,7]","[4,4,4,4,4,4,4,4,4]","[4,4,4,4,4,4,4,4,3]",,1.0,1.0,3,0,8,2,2,no_collapse,7d5769a4e58db7fe
8019b7c5af4872fb,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,9,0.28,"[10,9,8,7,6,5,4,3,2]","[4,4,4,4,4,4,4,4,4]","[6,5,4,3,2,1,0,-1,-2]",7,0.7777777777777778,0.9166666666666666,-2,0,2,8,8,,f2272499f538f2d3
b4dc0cf6d5739687,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,9,0.28,"[8,8,8,8,8,8,8,8,8]","[4,4,4,4,4,4,4,4,4]","[4,4,4,4,4,4,4,4,4]",,1.0,1.0,4,0,9,0,0,no_collapse,95ba3d476b514dbd
67ed8eae81365bc6,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,9,0.28,"[10,8,6,5,4,3,2,1,0]","[4,4,4,4,4,4,4,4,4]","[6,4,2,1,0,-1,-2,-3,-4]",5,0.5555555555555556,0.7222222222222222,-4,0,0,10,10,,3ff206ee6f3f8aaa
73fc16bec4d40f9a,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,9,0.28,"[11,11,11,11,10,9,8,7,6]","[4,4,4,4,4,4,4,4,4]","[7,7,7,7,6,5,4,3,2]",,1.0,1.0,2,3,4,3,3,no_collapse,040b83871ae1cac6
bd58a0f88d4435f3,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,9,0.28,"[9,9,9,7,7,7,7,7,6]","[4,4,4,4,4,4,4,4,4]","[5,5,5,3,3,3,3,3,2]",,1.0,1.0,2,10,0,0,0,no_collapse,67688805ae457f47
e3a1d8ba1bd290f0,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,9,0.28,"[10,9,9,8,7,5,4,4,4]","[4,4,4,4,4,4,4,4,4]","[6,5,5,4,3,1,0,0,0]",,1.0,1.0,0,8,2,0,0,no_collapse,5f0b0fbc7fc8b111
56eff5b16daf16d1,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,9,0.28,"[10,9,9,9,8,8,8,6,4]","[4,4,4,4,4,4,4,4,4]","[6,5,5,5,4,4,4,2,0]",,1.0,1.0,0,8,0,2,2,no_collapse,d65a2e008994c8c7
b1c095c0c17bc3e9,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,9,0.28,"[10,10,9,8,6,5,4,3,2]","[4,4,4,4,4,4,4,4,4]","[6,6,5,4,2,1,0,-1,-2]",7,0.7777777777777778,0.9166666666666666,-2,6,4,0,0,,0ae564c7e70d7862
da7e47d50179346e,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,9,0.28,"[11,11,10,9,7,5,4,3,2]","[4,4,4,4,4,4,4,4,4]","[7,7,6,5,3,1,0,-1,-2]",7,0.7777777777777778,0.9166666666666666,-2,6,2,2,2,,c32c519bd4ec7b7f
f05211d20f7bf245,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,balanced,4,3,3,calibration,10,8,10,4,9,0.28,"[11,10,9,8,8,8,7,5,5]","[4,4,4,4,4,4,4,4,4]","[7,6,5,4,4,4,3,1,1]",,1.0,1.0,1,4,3,3,3,no_collapse,91355a1a4dc34bc6
6e0045852346bbd6,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,9,0.28,"[8,8,7,6,6,6,4,4,2]","[4,4,4,4,4,4,4,4,4]","[4,4,3,2,2,2,0,0,-2]",8,0.8888888888888888,0.9444444444444444,-2,0,8,2,2,,4cb1c64bbe63d28c
1e8e6d8df37fa104,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,9,0.28,"[10,8,8,5,5,3,3,2,0]","[4,4,4,4,4,4,4,4,4]","[6,4,4,1,1,-1,-1,-2,-4]",5,0.5555555555555556,0.7777777777777778,-4,0,2,8,8,,771cb6ef7ab092aa
0ae7674488da288d,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,9,0.28,"[8,8,8,8,6,6,6,4,3]","[4,4,4,4,4,4,4,4,4]","[4,4,4,4,2,2,2,0,-1]",8,0.8888888888888888,0.9722222222222222,-1,0,10,0,0,,18961c5819d815df
edf68f81dd89e461,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,9,0.28,"[11,8,7,7,7,5,5,4,3]","[4,4,4,4,4,4,4,4,4]","[7,4,3,3,3,1,1,0,-1]",8,0.8888888888888888,0.9722222222222222,-1,0,0,10,10,,dcf178949507263a
69ba71d5e4e9df34,95ba3d476b514dbd,5ed3befab361e618,2000,layered_dag,calibration,clustered_failure,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,9,0.28,"[11,11,10,9,8,7,7,6,5]","[4,4,4,4,4,4,4,4,4]","[7,7,6,5,4,3,3,2,1]",,1.0,1.0,1,3,4,3,3,no_collapse,c902cf9a0effc06a
c695e3afff003f55,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,9,0.28,"[10,10,10,10,10,10,10,10,10]","[4,4,4,5,5,5,4,4,4]","[6,6,6,5,5,5,6,6,6]",,1.0,1.0,5,10,0,0,0,far_above_q|no_collapse,e9893ec8ac24f077
70ebf62ea1c20745,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,9,0.28,"[10,10,10,10,10,10,10,10,10]","[4,4,4,5,5,5,4,4,4]","[6,6,6,5,5,5,6,6,6]",,1.0,1.0,5,8,0,0,0,far_above_q|no_collapse|recovery_unused,39619197930412d0
4f2a5b2eb8fe03fd,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,9,0.28,"[12,12,12,12,12,12,12,12,12]","[4,4,4,5,5,5,4,4,4]","[8,8,8,7,7,7,8,8,8]",,1.0,1.0,7,8,0,2,2,far_above_q|no_collapse,2a38405346e56f5f
5a17b4566332ee71,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,9,0.28,"[10,10,10,10,10,10,10,10,10]","[4,4,4,5,5,5,4,4,4]","[6,6,6,5,5,5,6,6,6]",,1.0,1.0,5,6,0,0,0,far_above_q|no_collapse|recovery_unused,a5ce691b79c16be2
44c7154ffdb00b7a,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,9,0.28,"[11,11,11,11,11,11,11,11,11]","[4,4,4,5,5,5,4,4,4]","[7,7,7,6,6,6,7,7,7]",,1.0,1.0,6,6,0,2,2,far_above_q|no_collapse|recovery_unused,f36cd7afc4d50a58
0f0d5754623e3c51,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,balanced,4,3,3,calibration,10,8,10,4,9,0.28,"[11,11,11,11,11,11,11,11,11]","[4,4,4,5,5,5,4,4,4]","[7,7,7,6,6,6,7,7,7]",,1.0,1.0,6,4,0,3,3,far_above_q|no_collapse|recovery_unused,e0974f330b260429
81a872938cf048f8,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,9,0.28,"[8,8,8,8,8,8,8,8,8]","[4,4,4,5,5,5,4,4,4]","[4,4,4,3,3,3,4,4,4]",,1.0,1.0,3,0,0,2,2,no_collapse|recovery_unused,6ed4077572645912
f7644daa9ecc1d5c,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,9,0.28,"[10,10,10,10,10,10,10,10,10]","[4,4,4,5,5,5,4,4,4]","[6,6,6,5,5,5,6,6,6]",,1.0,1.0,5,0,0,8,8,far_above_q|no_collapse|recovery_unused,7812fbe2d43b289a
f2c0a16b800a0ded,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,9,0.28,"[8,8,8,8,8,8,8,8,8]","[4,4,4,5,5,5,4,4,4]","[4,4,4,3,3,3,4,4,4]",,1.0,1.0,3,0,0,0,0,no_collapse|recovery_unused,95ba3d476b514dbd
0df471a242ffb760,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,9,0.28,"[11,11,11,11,11,11,11,11,11]","[4,4,4,5,5,5,4,4,4]","[7,7,7,6,6,6,7,7,7]",,1.0,1.0,6,0,0,10,10,far_above_q|no_collapse,9fba2de33de27156
7b3b88c8e5d5842b,95ba3d476b514dbd,e51efac9ad3bb462,2000,layered_dag,calibration,demand_shock,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,9,0.28,"[11,11,11,11,11,11,11,11,11]","[4,4,4,5,5,5,4,4,4]","[7,7,7,6,6,6,7,7,7]",,1.0,1.0,6,3,0,3,3,far_above_q|no_collapse|recovery_unused,45000ea32e8d9f5b
dc4aafc77978f327,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,buffer_heavy,10,0,0,calibration,10,8,10,4,9,0.28,"[8,7,6,5,4,4,3,1,1]","[4,4,4,4,4,4,4,4,4]","[4,3,2,1,0,0,-1,-3,-3]",6,0.6666666666666666,0.8055555555555556,-3,10,0,0,0,,a6f8e16f4fb63f17
2ae9c25cff8e899a,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,buffer_heavy,8,2,0,calibration,10,8,10,4,9,0.28,"[9,8,7,6,5,4,3,1,0]","[4,4,4,4,4,4,4,4,4]","[5,4,3,2,1,0,-1,-3,-4]",6,0.6666666666666666,0.7777777777777778,-4,8,2,0,0,,f2e7397a2359dc3d
6c2e597dd85832fa,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,buffer_heavy,8,0,2,calibration,10,8,10,4,9,0.28,"[10,8,8,8,7,3,3,2,1]","[4,4,4,4,4,4,4,4,4]","[6,4,4,4,3,-1,-1,-2,-3]",5,0.5555555555555556,0.8055555555555556,-3,8,0,2,2,,db4acb6ded1777df
202d06baf5069492,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,buffer_heavy,6,4,0,calibration,10,8,10,4,9,0.28,"[10,10,9,6,6,6,4,4,4]","[4,4,4,4,4,4,4,4,4]","[6,6,5,2,2,2,0,0,0]",,1.0,1.0,0,6,4,0,0,no_collapse,3fd84817ac075b9e
1484d8af36f77f4a,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,buffer_heavy,6,2,2,calibration,10,8,10,4,9,0.28,"[11,9,7,5,5,5,4,4,3]","[4,4,4,4,4,4,4,4,4]","[7,5,3,1,1,1,0,0,-1]",8,0.8888888888888888,0.9722222222222222,-1,6,2,2,2,,d0697c9c2623f52d
372978563a4f9777,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,balanced,4,3,3,calibration,10,8,10,4,9,0.28,"[9,8,5,4,2,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[5,4,1,0,-2,-3,-4,-4,-4]",4,0.4444444444444444,0.5277777777777778,-4,4,3,3,3,,68aabcec73bd0fd4
d510c2a6b511379c,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,recovery_heavy,0,8,2,calibration,10,8,8,4,9,0.28,"[8,7,5,4,4,3,2,1,0]","[4,4,4,4,4,4,4,4,4]","[4,3,1,0,0,-1,-2,-3,-4]",5,0.5555555555555556,0.7222222222222222,-4,0,8,2,2,,337a95433ebfde2f
95efbf65cbfdeabe,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,9,0.28,"[10,7,6,3,1,1,1,1,1]","[4,4,4,4,4,4,4,4,4]","[6,3,2,-1,-3,-3,-3,-3,-3]",3,0.3333333333333333,0.5555555555555556,-3,0,2,8,8,,025fba0211945342
5dd06523ed7d81ba,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,recovery_heavy,0,10,0,calibration,10,8,8,4,9,0.28,"[8,8,7,5,3,3,2,2,1]","[4,4,4,4,4,4,4,4,4]","[4,4,3,1,-1,-1,-2,-2,-3]",4,0.4444444444444444,0.75,-3,0,10,0,0,,9ec2c7c46dd07168
0d9c764d516a4745,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,9,0.28,"[10,6,3,1,1,1,1,1,1]","[4,4,4,4,4,4,4,4,4]","[6,2,-1,-3,-3,-3,-3,-3,-3]",2,0.2222222222222222,0.4722222222222222,-3,0,0,10,10,,9d245e91741046af
6983588cb1649fe9,95ba3d476b514dbd,5f82b1b288b5639b,2000,layered_dag,calibration,repairable_wear,primary_heldout,balanced,3,4,3,primary_heldout,10,8,10,4,9,0.28,"[10,8,7,6,4,3,2,1,1]","[4,4,4,4,4,4,4,4,4]","[6,4,3,2,0,-1,-2,-3,-3]",5,0.5555555555555556,0.75,-3,3,4,3,3,,525d617156cabad1
fcd213fc3638b5c8,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,9,0.28,"[9,9,8,8,8,8,8,6,6]","[4,4,4,4,4,4,4,4,4]","[5,5,4,4,4,4,4,2,2]",,1.0,1.0,2,10,0,0,0,no_collapse,8751541bd7376897
320020782bb83039,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,9,0.28,"[10,10,9,9,9,8,7,5,5]","[4,4,4,4,4,4,4,4,4]","[6,6,5,5,5,4,3,1,1]",,1.0,1.0,1,8,2,0,0,no_collapse,0a3c099a46a4de8c
4714c12a62e89383,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,9,0.28,"[11,11,10,10,9,9,8,8,8]","[4,4,4,4,4,4,4,4,4]","[7,7,6,6,5,5,4,4,4]",,1.0,1.0,4,8,0,2,2,no_collapse,731a293dcd1a06ec
17a9872acbd31e08,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,9,0.28,"[10,10,9,9,9,8,7,5,5]","[4,4,4,4,4,4,4,4,4]","[6,6,5,5,5,4,3,1,1]",,1.0,1.0,1,6,4,0,0,no_collapse,e80d5ad1678a5366
6d414b83869a20c3,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,9,0.28,"[11,11,10,10,10,10,9,9,9]","[4,4,4,4,4,4,4,4,4]","[7,7,6,6,6,6,5,5,5]",,1.0,1.0,5,6,2,2,2,far_above_q|no_collapse,20eafe7e6efce02a
6a5fcd463edb7f8c,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,balanced,4,3,3,calibration,10,8,10,4,9,0.28,"[11,11,10,9,9,8,7,7,7]","[4,4,4,4,4,4,4,4,4]","[7,7,6,5,5,4,3,3,3]",,1.0,1.0,3,4,3,3,3,no_collapse,8b13114bd8203582
1cecd1b446c23c59,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,9,0.28,"[8,8,8,8,6,5,5,4,4]","[4,4,4,4,4,4,4,4,4]","[4,4,4,4,2,1,1,0,0]",,1.0,1.0,0,0,8,2,2,no_collapse,5dac633dfa8c605b
0373ee1877c25028,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,9,0.28,"[10,10,9,9,8,8,7,7,6]","[4,4,4,4,4,4,4,4,4]","[6,6,5,5,4,4,3,3,2]",,1.0,1.0,2,0,2,8,8,no_collapse,e9f4da088250e18c
aa5035f79f28b331,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,9,0.28,"[8,8,8,8,8,8,7,6,6]","[4,4,4,4,4,4,4,4,4]","[4,4,4,4,4,4,3,2,2]",,1.0,1.0,2,0,10,0,0,no_collapse,8229bcc06f919871
08364194001dca8f,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,9,0.28,"[11,11,9,9,8,7,7,7,6]","[4,4,4,4,4,4,4,4,4]","[7,7,5,5,4,3,3,3,2]",,1.0,1.0,2,0,0,10,10,no_collapse,7306513d57ddc9db
4553b5958baf9143,95ba3d476b514dbd,0c2ea0d8286e0e48,2000,layered_dag,calibration,scalar_only_control,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,9,0.28,"[11,11,11,10,9,9,8,8,8]","[4,4,4,4,4,4,4,4,4]","[7,7,7,6,5,5,4,4,4]",,1.0,1.0,4,3,4,3,3,no_collapse,9e1e82750c8fdae7
646db809b1dbaffe,889a1303c30066e7,085b5e162b0f155d,2000,grid,calibration,random_attrition,calibration,buffer_heavy,10,0,0,calibration,10,8,9,4,9,0.28,"[8,7,5,5,3,3,1,1,0]","[4,4,4,4,4,4,4,4,4]","[4,3,1,1,-1,-1,-3,-3,-4]",4,0.4444444444444444,0.6666666666666666,-4,10,0,0,0,,226245c787a3b57d
386adcac433cf0d7,889a1303c30066e7,085b5e162b0f155d,2000,grid,calibration,random_attrition,calibration,buffer_heavy,8,2,0,calibration,10,8,9,4,9,0.28,"[8,8,6,6,5,5,4,2,1]","[4,4,4,4,4,4,4,4,4]","[4,4,2,2,1,1,0,-2,-3]",7,0.7777777777777778,0.8611111111111112,-3,8,2,0,0,,620cdb6df75e7e5e
5b6a68d3f1150dd2,889a1303c30066e7,085b5e162b0f155d,2000,grid,calibration,random_attrition,calibration,buffer_heavy,8,0,2,calibration,10,8,9,4,9,0.28,"[9,8,6,5,3,2,1,1,0]","[4,4,4,4,4,4,4,4,4]","[5,4,2,1,-1,-2,-3,-3,-4]",4,0.4444444444444444,0.6388888888888888,-4,8,0,2,2,,0c3933da338bee5c
334ee836d4b3a2a2,889a1303c30066e7,085b5e162b0f155d,2000,grid,calibration,random_attrition,calibration,buffer_heavy,6,4,0,calibration,10,8,9,4,9,0.28,"[8,8,6,5,5,5,4,2,1]","[4,4,4,4,4,4,4,4,4]","[4,4,2,1,1,1,0,-2,-3]",7,0.7777777777777778,0.8611111111111112,-3,6,4,0,0,,632bc80cf3ff9a69
