row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,1.8333333333333333,4.0,9.0,3.0,0.0,3.0,3.0,1,22,235,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7796735999999999,1.1414015999999998,0.7614605679164989
code_n24_k12_cw3_004_q02,code_n24_k12_cw3_004,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,1.8333333333333333,4.0,9.0,3.0,0.0,3.0,3.0,1,22,235,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.9035,2.5875,1.2774555810857395
code_n24_k12_cw3_004_q03,code_n24_k12_cw3_004,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,1.8333333333333333,4.0,9.0,3.0,0.0,3.0,3.0,1,22,235,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,3.9470975999999993,5.103129599999999,1.8088016887948601
code_n24_k12_cw3_005_q00,code_n24_k12_cw3_005,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,9.5,2.0,12.0,3.0,0.0,3.0,3.0,1,22,240,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25194239999999996,0.41264639999999997,0.34546482468528067
code_n24_k12_cw3_005_q01,code_n24_k12_cw3_005,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,9.5,2.0,12.0,3.0,0.0,3.0,3.0,1,22,240,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7962623999999998,1.1579903999999996,0.7691774182625631
code_n24_k12_cw3_005_q02,code_n24_k12_cw3_005,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,9.5,2.0,12.0,3.0,0.0,3.0,3.0,1,22,240,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.944,2.6279999999999997,1.2886815322528902
code_n24_k12_cw3_005_q03,code_n24_k12_cw3_005,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,9.5,2.0,12.0,3.0,0.0,3.0,3.0,1,22,240,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,4.031078399999999,5.187110399999999,1.8224681602558228
code_n24_k12_cw3_006_q00,code_n24_k12_cw3_006,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,2.3333333333333335,4.0,10.0,3.0,0.0,3.0,3.0,2,44,467,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0648,0.256608,0.49023791999999994,0.8116459199999999,0.5942357801375598
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,2.3333333333333335,4.0,10.0,3.0,0.0,3.0,3.0,2,44,467,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.6082559999999999,1.5493939199999998,2.2728499199999996,1.1856611405111037
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,2.3333333333333335,4.0,10.0,3.0,0.0,3.0,3.0,2,44,467,12926,exact,2,0.09,0.026999999999999996,0.0081,0.18,1.1879999999999997,3.7826999999999997,5.1507,1.8165658964795035
